"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2017",1.948647,
"AUT","CPI","TOT","AGRWTH","A","2017",2.081269,
"BEL","CPI","TOT","AGRWTH","A","2017",2.125971,
"CAN","CPI","TOT","AGRWTH","A","2017",1.596884,
"CZE","CPI","TOT","AGRWTH","A","2017",2.450534,
"DNK","CPI","TOT","AGRWTH","A","2017",1.147132,
"FIN","CPI","TOT","AGRWTH","A","2017",0.754015,
"FRA","CPI","TOT","AGRWTH","A","2017",1.032283,
"DEU","CPI","TOT","AGRWTH","A","2017",1.509497,
"GRC","CPI","TOT","AGRWTH","A","2017",1.121259,
"HUN","CPI","TOT","AGRWTH","A","2017",2.348243,
"ISL","CPI","TOT","AGRWTH","A","2017",1.760413,
"IRL","CPI","TOT","AGRWTH","A","2017",0.3405316,
"ITA","CPI","TOT","AGRWTH","A","2017",1.226533,
"JPN","CPI","TOT","AGRWTH","A","2017",0.4672118,
"KOR","CPI","TOT","AGRWTH","A","2017",1.944456,
"LUX","CPI","TOT","AGRWTH","A","2017",1.7308,
"MEX","CPI","TOT","AGRWTH","A","2017",6.041456,
"NLD","CPI","TOT","AGRWTH","A","2017",1.381459,
"NZL","CPI","TOT","AGRWTH","A","2017",1.850787,
"NOR","CPI","TOT","AGRWTH","A","2017",1.875101,
"POL","CPI","TOT","AGRWTH","A","2017",1.975,
"PRT","CPI","TOT","AGRWTH","A","2017",1.368614,
"SVK","CPI","TOT","AGRWTH","A","2017",1.311946,
"ESP","CPI","TOT","AGRWTH","A","2017",1.956083,
"SWE","CPI","TOT","AGRWTH","A","2017",1.794499,
"CHE","CPI","TOT","AGRWTH","A","2017",0.5337878,
"TUR","CPI","TOT","AGRWTH","A","2017",11.14431,
"GBR","CPI","TOT","AGRWTH","A","2017",2.6,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"CHL","CPI","TOT","AGRWTH","A","2017",2.182719,
"EST","CPI","TOT","AGRWTH","A","2017",3.417236,
"ISR","CPI","TOT","AGRWTH","A","2017",0.2449531,
"SVN","CPI","TOT","AGRWTH","A","2017",1.429107,
"COL","CPI","TOT","AGRWTH","A","2017",4.312141,
"LVA","CPI","TOT","AGRWTH","A","2017",2.930369,
"LTU","CPI","TOT","AGRWTH","A","2017",3.722889,
