"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2017",65.60463,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.54689,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.8667,
"CAN","GGDEBT","TOT","PC_GDP","A","2017",108.5559,
"CZE","GGDEBT","TOT","PC_GDP","A","2017",43.32781,
"DNK","GGDEBT","TOT","PC_GDP","A","2017",52.54022,
"FIN","GGDEBT","TOT","PC_GDP","A","2017",73.04077,
"FRA","GGDEBT","TOT","PC_GDP","A","2017",122.9442,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",72.78644,
"GRC","GGDEBT","TOT","PC_GDP","A","2017",192.7498,
"HUN","GGDEBT","TOT","PC_GDP","A","2017",93.07479,
"IRL","GGDEBT","TOT","PC_GDP","A","2017",75.73867,
"ITA","GGDEBT","TOT","PC_GDP","A","2017",151.9975,
"JPN","GGDEBT","TOT","PC_GDP","A","2017",234.0426,
"LUX","GGDEBT","TOT","PC_GDP","A","2017",29.65228,
"MEX","GGDEBT","TOT","PC_GDP","A","2017",53.22276,
"NLD","GGDEBT","TOT","PC_GDP","A","2017",70.86796,
"NOR","GGDEBT","TOT","PC_GDP","A","2017",44.66471,
"POL","GGDEBT","TOT","PC_GDP","A","2017",68.7151,
"PRT","GGDEBT","TOT","PC_GDP","A","2017",143.1915,
"SVK","GGDEBT","TOT","PC_GDP","A","2017",65.5633,
"ESP","GGDEBT","TOT","PC_GDP","A","2017",115.7774,
"SWE","GGDEBT","TOT","PC_GDP","A","2017",60.04974,
"CHE","GGDEBT","TOT","PC_GDP","A","2017",41.89757,
"TUR","GGDEBT","TOT","PC_GDP","A","2017",34.86066,
"GBR","GGDEBT","TOT","PC_GDP","A","2017",117.066,
"USA","GGDEBT","TOT","PC_GDP","A","2017",134.6742,
"CHL","GGDEBT","TOT","PC_GDP","A","2017",29.10533,
"EST","GGDEBT","TOT","PC_GDP","A","2017",13.08883,
"ISR","GGDEBT","TOT","PC_GDP","A","2017",73.1968,
"SVN","GGDEBT","TOT","PC_GDP","A","2017",88.92531,
"LVA","GGDEBT","TOT","PC_GDP","A","2017",47.18818,
"COL","GGDEBT","TOT","PC_GDP","A","2017",75.18874,
"LTU","GGDEBT","TOT","PC_GDP","A","2017",47.00182,
