"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"CAN","CPI","TOT","AGRWTH","A","2015",1.125241,
"CZE","CPI","TOT","AGRWTH","A","2015",0.3093646,
"DNK","CPI","TOT","AGRWTH","A","2015",0.4520341,
"FIN","CPI","TOT","AGRWTH","A","2015",-0.207932,
"FRA","CPI","TOT","AGRWTH","A","2015",0.03751438,
"DEU","CPI","TOT","AGRWTH","A","2015",0.514421,
"GRC","CPI","TOT","AGRWTH","A","2015",-1.736046,
"HUN","CPI","TOT","AGRWTH","A","2015",-0.06164468,
"ISL","CPI","TOT","AGRWTH","A","2015",1.633058,
"IRL","CPI","TOT","AGRWTH","A","2015",-0.2898791,
"ITA","CPI","TOT","AGRWTH","A","2015",0.03878675,
"JPN","CPI","TOT","AGRWTH","A","2015",0.7895179,
"KOR","CPI","TOT","AGRWTH","A","2015",0.7062082,
"LUX","CPI","TOT","AGRWTH","A","2015",0.4747432,
"MEX","CPI","TOT","AGRWTH","A","2015",2.720641,
"NLD","CPI","TOT","AGRWTH","A","2015",0.6002482,
"NZL","CPI","TOT","AGRWTH","A","2015",0.2927033,
"NOR","CPI","TOT","AGRWTH","A","2015",2.171137,
"POL","CPI","TOT","AGRWTH","A","2015",-0.9333333,
"PRT","CPI","TOT","AGRWTH","A","2015",0.4879386,
"SVK","CPI","TOT","AGRWTH","A","2015",-0.3252198,
"ESP","CPI","TOT","AGRWTH","A","2015",-0.5004613,
"SWE","CPI","TOT","AGRWTH","A","2015",-0.04678474,
"CHE","CPI","TOT","AGRWTH","A","2015",-1.143909,
"TUR","CPI","TOT","AGRWTH","A","2015",7.670854,
"GBR","CPI","TOT","AGRWTH","A","2015",0.4,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"CHL","CPI","TOT","AGRWTH","A","2015",4.348773,
"EST","CPI","TOT","AGRWTH","A","2015",-0.492326,
"ISR","CPI","TOT","AGRWTH","A","2015",-0.6343907,
"SVN","CPI","TOT","AGRWTH","A","2015",-0.5255523,
"COL","CPI","TOT","AGRWTH","A","2015",4.990234,
"LVA","CPI","TOT","AGRWTH","A","2015",0.1742414,
"LTU","CPI","TOT","AGRWTH","A","2015",-0.8840974,
