"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2015",64.18005,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.2852,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",126.2432,
"CAN","GGDEBT","TOT","PC_GDP","A","2015",114.6343,
"CZE","GGDEBT","TOT","PC_GDP","A","2015",51.70708,
"DNK","GGDEBT","TOT","PC_GDP","A","2015",53.42833,
"FIN","GGDEBT","TOT","PC_GDP","A","2015",75.23145,
"FRA","GGDEBT","TOT","PC_GDP","A","2015",120.8252,
"DEU","GGDEBT","TOT","PC_GDP","A","2015",80.0452,
"GRC","GGDEBT","TOT","PC_GDP","A","2015",184.9196,
"HUN","GGDEBT","TOT","PC_GDP","A","2015",98.89789,
"IRL","GGDEBT","TOT","PC_GDP","A","2015",88.42575,
"ITA","GGDEBT","TOT","PC_GDP","A","2015",156.8527,
"JPN","GGDEBT","TOT","PC_GDP","A","2015",237.0939,
"LUX","GGDEBT","TOT","PC_GDP","A","2015",30.47134,
"MEX","GGDEBT","TOT","PC_GDP","A","2015",54.74356,
"NLD","GGDEBT","TOT","PC_GDP","A","2015",79.6172,
"NOR","GGDEBT","TOT","PC_GDP","A","2015",40.22136,
"POL","GGDEBT","TOT","PC_GDP","A","2015",70.20952,
"PRT","GGDEBT","TOT","PC_GDP","A","2015",148.4184,
"SVK","GGDEBT","TOT","PC_GDP","A","2015",66.49396,
"ESP","GGDEBT","TOT","PC_GDP","A","2015",117.0753,
"SWE","GGDEBT","TOT","PC_GDP","A","2015",62.32385,
"CHE","GGDEBT","TOT","PC_GDP","A","2015",42.37722,
"TUR","GGDEBT","TOT","PC_GDP","A","2015",32.59971,
"GBR","GGDEBT","TOT","PC_GDP","A","2015",112.6328,
"USA","GGDEBT","TOT","PC_GDP","A","2015",136.43,
"CHL","GGDEBT","TOT","PC_GDP","A","2015",24.42269,
"EST","GGDEBT","TOT","PC_GDP","A","2015",12.63388,
"ISR","GGDEBT","TOT","PC_GDP","A","2015",76.84403,
"SVN","GGDEBT","TOT","PC_GDP","A","2015",102.3766,
"LVA","GGDEBT","TOT","PC_GDP","A","2015",46.16284,
"COL","GGDEBT","TOT","PC_GDP","A","2015",68.5365,
"LTU","GGDEBT","TOT","PC_GDP","A","2015",53.33852,
