"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","VALUE","Value","2012","2012",32,,
"AUS","Australia","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","VALUE","Value","2012","2012",68,,
"AUS","Australia","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","SE","SE","2012","2012",1.3,,
"AUS","Australia","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","SE","SE","2012","2012",1.3,,
"AUS","Australia","L0T4","Less than tertiary","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",30,,
"AUS","Australia","L0T4","Less than tertiary","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",67,,
"AUS","Australia","L0T4","Less than tertiary","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","SE","SE","2012","2012",2.3,,
"AUS","Australia","L0T4","Less than tertiary","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","SE","SE","2012","2012",1.5,,
"AUS","Australia","L5T7_B","Tertiary-type B","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",11,,
"AUS","Australia","L5T7_B","Tertiary-type B","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",10,,
"AUS","Australia","L5T7_B","Tertiary-type B","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","SE","SE","2012","2012",1.5,,
"AUS","Australia","L5T7_B","Tertiary-type B","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","SE","SE","2012","2012",1,,
"AUS","Australia","L5T8_A","Tertiary-type A or advanced research programmes","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",59,,
"AUS","Australia","L5T8_A","Tertiary-type A or advanced research programmes","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",24,,
"AUS","Australia","L5T8_A","Tertiary-type A or advanced research programmes","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","SE","SE","2012","2012",2.3,,
"AUS","Australia","L5T8_A","Tertiary-type A or advanced research programmes","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","SE","SE","2012","2012",1.4,,
"AUT","Austria","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","VALUE","Value","2012","2012",19,,
"AUT","Austria","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","VALUE","Value","2012","2012",81,,
"AUT","Austria","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","SE","SE","2012","2012",1.1,,
"AUT","Austria","T","All levels of education","T","Total","Y30T44","30-44 years","PARED3_0T4","Both parents have less than tertiary","PIAAC_SHARE_PARENTS_EA","Parents' educational attainment","SE","SE","2012","2012",1.1,,
