"COUNTRY","Country","AGE","Age","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","SEX","Sex","INTENSITY","Intensity","YEAR","Year","Value","Flag Codes","Flags"
"EST","Estonia","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",4.204,,
"EST","Estonia","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",3.665,,
"EST","Estonia","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",3.893,,
"EST","Estonia","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",3.376,,
"EST","Estonia","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",2.721,,
"EST","Estonia","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",4.652,,
"ITA","Italy","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",0,,
"ITA","Italy","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"x","Data included in another category"
"ITA","Italy","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"z","Not applicable"
"ITA","Italy","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"z","Not applicable"
