"LFS_COUNTRY","Country","PROG","Programmes","MEAS","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.03,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.03,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.02,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.02,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.01,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.06,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.05,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.04,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.04,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.03,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.02,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.01,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0,"n","Nil or less than 0.005"
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0,"n","Nil or less than 0.005"
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.01,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.01,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0,"n","Nil or less than 0.005"
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0,"n","Nil or less than 0.005"
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",1,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.91,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.81,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.71,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.76,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.89,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.82,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.81,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.83,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.87,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.93,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.91,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.86,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.85,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.78,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.38,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.37,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.33,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.3,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.31,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.35,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.33,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.31,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.26,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.24,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.25,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.23,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.23,,
