const,Country,Time,NEET,Exp_LMP,Exp_LMP_2,Exp_LMP_3,STR,STR_2,STR_3,GDP,LogGDP,CPI,DEBT,Years_schooling,Exp_educ,LogExp_educ,Strictness_of_workers,PT_employ
1.0,AUS,2013,13.015899,0.87,0.7569,0.658503,15.615,243.828225,3807.377733375,68150.1070413215,11.129468007795808,2.449889,55.70968,12.6,9241.9922,9.13151274745669,2.011,46.2051622199336
1.0,AUS,2014,12.647472,0.93,0.8649000000000001,0.8043570000000001,15.612,243.734544,3805.1837009280002,62510.7911705641,11.043094479549715,2.487923,61.36842,12.7,9257.998,9.133243105561812,2.011,46.6033833751193
1.0,AUS,2015,11.83161,0.91,0.8281000000000001,0.7535710000000001,15.433,238.177489,3675.7931877369997,56755.7217124249,10.94651175338777,1.508367,64.18005,12.8,9524.7178,9.161645572259417,2.011,47.0870933170136
1.0,AUS,2016,11.35215,0.86,0.7395999999999999,0.636056,15.168,230.068224,3489.6748216319993,49971.131456129,10.819200746790113,1.276991,68.39156,12.9,10022.567,9.21259452945316,2.011,48.9646950526702
1.0,AUS,2017,10.946128,0.85,0.7224999999999999,0.6141249999999999,15.124,228.73537600000003,3459.393826624,54027.9668184568,10.897257095525894,1.948647,65.60463,12.9,10238.413,9.233901906114035,2.011,49.7313420326816
1.0,AUS,2018,10.842403,0.78,0.6084,0.47455200000000003,14.926,222.78547600000002,3325.296014776,57354.9640455891,10.957014675840254,1.911401,65.89544,,,,2.011,49.4436726603663
1.0,AUT,2013,10.680032,2.15,4.6225,9.938374999999999,11.919,142.06256100000002,1693.2436645590003,50716.7087062864,10.834010695567995,2.000158,94.3597,11.9,10864.014,9.29321113845744,2.561,16.6823453624771
1.0,AUT,2014,11.552073,2.18,4.752400000000001,10.360232000000002,11.95,142.80249999999998,1706.4898749999998,51717.4959405515,10.853551416024457,1.605806,101.8692,12.1,11111.155,9.315704837626209,2.561,19.930457100468
1.0,AUT,2015,10.438811,2.21,4.8841,10.793861,11.843,140.256649,1661.059494107,44178.0473777432,10.695983279024627,0.8965653,101.2852,12.1,11695.329,9.366944810302796,2.561,19.0674597043705
1.0,AUT,2016,10.861573,2.25,5.0625,11.390625,11.628,135.210384,1572.226345152,45276.8314351693,10.720550733290063,0.8915924,102.5335,12.1,12494.142,9.433015173444348,2.561,20.6644300479573
1.0,AUT,2017,10.806797,2.19,4.7961,10.503459,11.267,126.94528899999999,1430.2925711629998,47426.5119597773,10.766936675365711,2.081269,96.54689,12.1,12753.816,9.453585799924669,2.561,22.2708917218342
1.0,AUT,2018,11.101415,2.07,4.2848999999999995,8.869742999999998,11.55,133.4025,1540.7988750000002,51478.2852619277,10.848915352334949,1.998382,90.95426,,,,2.561,19.6179185524424
1.0,BEL,2013,14.977997,2.8,7.839999999999999,21.951999999999995,12.672,160.579584,2034.8644884480002,46744.6625441516,10.752455358020347,1.113096,118.6558,11.4,10072.388,9.217553097619218,2.597,21.4922440285156
1.0,BEL,2014,15.014685,2.66,7.0756000000000006,18.821096000000004,12.723,161.87472900000003,2059.5321770670002,47700.5403601178,10.772698005116624,0.3400028,130.6104,11.5,10191.04,9.229264181852882,2.631,21.9540439158545
1.0,BEL,2015,13.80891,2.39,5.7121,13.651919000000001,12.784,163.43065600000003,2089.2975063040003,40991.8081381432,10.621127524214762,0.5614291,126.2432,11.7,10230.488,9.233127560642728,2.869,21.7273354982398
1.0,BEL,2016,12.989787,2.27,5.1529,11.697083000000001,12.832,164.66022400000003,2112.9199943680005,41984.1030335609,10.645046326415672,1.973853,127.6711,11.8,10812.132,9.288424115978861,2.869,23.2551032832903
1.0,BEL,2017,13.241013,2.24,5.017600000000001,11.239424000000003,12.895,166.281025,2144.193817375,44192.6230270333,10.696313154295586,2.125971,120.8667,11.8,11106.282,9.315266173159362,2.869,22.3818550769144
1.0,BEL,2018,12.750292,2.1,4.41,9.261000000000001,12.815,164.224225,2104.533443375,47583.0749405066,10.7702324085133,2.053165,117.6529,,,,2.869,24.8355783890013
1.0,CAN,2012,13.399941,0.83,0.6889,0.5717869999999999,14.027,196.75672899999998,2759.9066376829996,52678.3901234772,10.871960595851109,1.515678,111.3064,12.8,9129.751,9.119293700489834,1.314,47.8625108319379
1.0,CAN,2013,12.478057,0.8,0.6400000000000001,0.5120000000000001,16.477,271.491529,4473.365923333,52652.5936828278,10.871470779080525,0.9382919,107.3234,12.9,9564.8584,9.165851077791956,1.314,48.1232534964712
