Country,Time,GDP,CPI,DEBT
AUS,2000,21679.2478424147,4.457435,41.1475
AUS,2001,19490.8611097303,4.407135,40.40488
AUS,2002,20082.4832672749,2.981575,38.67284
AUS,2003,23447.0310006717,2.732596,35.66726
AUS,2004,30430.6764374443,2.343255,32.31054
AUS,2005,33999.2428575835,2.691832,30.27036
AUS,2006,36044.9228108485,3.555288,29.57842
AUS,2007,40960.0544948199,2.327611,28.28024
AUS,2008,49601.6567082178,4.350298,30.59481
AUS,2009,42772.3591664498,1.771117,39.16329
AUS,2010,52022.1255961876,2.91834,41.98516
AUS,2011,62517.8337471503,3.30385,46.29339
AUS,2012,68012.1479005934,1.76278,59.23946
AUS,2013,68150.1070413215,2.449889,55.70968
AUS,2014,62510.7911705641,2.487923,61.36842
AUS,2015,56755.7217124249,1.508367,64.18005
AUS,2016,49971.131456129,1.276991,68.39156
AUS,2017,54027.9668184568,1.948647,65.60463
AUS,2018,57354.9640455891,1.911401,65.89544
AUS,2019,55060.3261005013,1.610768,75.67439
AUT,2000,24564.4582948404,2.344868,71.04991
AUT,2001,24537.5142629883,2.65,72.1219
AUT,2002,26401.7454564357,1.810359,74.02462
AUT,2003,32222.8972411655,1.355554,72.53215
AUT,2004,36821.5214680093,2.061207,71.7653
AUT,2005,38403.1338770715,2.299138,76.25182
AUT,2006,40635.2818159724,1.441547,72.68636
AUT,2007,46855.7717452095,2.168556,68.96463
AUT,2008,51708.7657541758,3.215951,74.19278
AUT,2009,47963.1794023217,0.5063094,86.33044
AUT,2010,46858.0432733717,1.813532,90.54397
AUT,2011,51374.9584066934,3.286583,91.4737
AUT,2012,48567.69528642,2.485675,97.33756
AUT,2013,50716.7087062864,2.000158,94.3597
AUT,2014,51717.4959405515,1.605806,101.8692
AUT,2015,44178.0473777432,0.8965653,101.2852
AUT,2016,45276.8314351693,0.8915924,102.5335
AUT,2017,47426.5119597773,2.081269,96.54689
AUT,2018,51478.2852619277,1.998382,90.95426
AUT,2019,50137.6627762476,1.530896,88.89411
BEL,2000,23041.5347290428,2.544518,121.6588
BEL,2001,22995.1575247288,2.469258,120.0464
BEL,2002,24887.5613341833,1.645214,119.5324
BEL,2003,30587.6684093796,1.588964,115.7454
BEL,2004,35364.3753314368,2.097283,111.3621
BEL,2005,36795.9768819639,2.781433,108.9884
BEL,2006,38672.7059429767,1.791208,101.0699
BEL,2007,44262.8960009954,1.823056,94.63382
BEL,2008,48106.892915788,4.489444,102.3672
BEL,2009,44583.5448070814,-0.05314567,110.7298
BEL,2010,44141.8781415734,2.189299,108.6802
