Country,Time,Years_schooling,Avg_class_size,Exp_educ
AUS,2013,12.6,23.725,9241.9922
AUS,2014,12.7,23.859,9257.998
AUS,2015,12.8,23.821,9524.7178
AUS,2016,12.9,23.669,10022.567
AUS,2017,12.9,23.613,10238.413
AUT,2013,11.9,18.298,10864.014
AUT,2014,12.1,18.315,11111.155
AUT,2015,12.1,18.328,11695.329
AUT,2016,12.1,18.329,12494.142
AUT,2017,12.1,18.448,12753.816
CHL,2013,9.9,30.173,4484.2124
CHL,2014,10.1,30.077,4111.3628
CHL,2015,10.3,30.118,4181.4561
CHL,2016,10.3,30.377,4972.3501
CHL,2017,10.3,30.501,5259.0156
COL,2013,7.8,22.433,2617.4338
COL,2014,8.0,20.843,2744.2197
COL,2015,8.1,22.502,3091.2302
COL,2016,8.3,23.118,3207.8809
COL,2017,8.3,23.111,3274.2183
CZE,2013,12.6,20.36,4895.4175
CZE,2014,12.8,20.591,5085.979
CZE,2015,12.7,20.814,5241.7017
CZE,2016,12.7,21.026,5197.6421
CZE,2017,12.7,21.094,5970.6182
DNK,2017,12.6,21.039,13277.804
EST,2013,12.6,16.881,7255.5903
EST,2014,12.6,16.788,6166.6343
EST,2015,12.7,18.551,6347.2373
EST,2016,12.6,18.881,6943.2383
EST,2017,12.7,18.952,7480.6763
FIN,2013,12.3,19.036,8590.1738
FIN,2014,12.4,19.036,8802.9873
FIN,2015,12.4,19.035,9322.9629
FIN,2016,12.4,19.55,9642.0771
FIN,2017,12.4,19.55,9633.0596
FRA,2013,11.2,22.874,7265.2158
FRA,2014,11.4,23.472,7372.8506
FRA,2015,11.5,23.597,7444.3481
FRA,2016,11.5,23.67,7745.4746
FRA,2017,11.5,23.664,8319.3154
DEU,2013,14.0,20.85,8149.2197
DEU,2014,14.0,20.724,8580.4795
DEU,2015,14.1,20.701,8654.502
DEU,2016,14.1,20.765,9170.1045
DEU,2017,14.1,20.878,9572.2148
GRC,2013,10.4,17.217,5607.9263
GRC,2014,10.5,17.341,5862.4365
GRC,2015,10.6,17.368,5823.1445
GRC,2016,10.8,17.327,6092.8306
GRC,2017,10.8,17.503,6084.6733
HUN,2013,12.0,21.03,5497.9077
HUN,2014,11.8,21.169,3771.5762
HUN,2015,11.8,21.271,5121.666
HUN,2016,11.9,21.231,5559.7495
HUN,2017,11.9,21.977,5490.7969
ISL,2013,11.9,18.49,10411.958
ISL,2014,12.2,18.7,11145.965
ISL,2015,12.2,18.613,11238.235
ISL,2016,12.4,18.798,11912.494
ISL,2017,12.4,19.151,13332.689
ISR,2013,12.8,26.737,7666.0972
ISR,2014,12.9,26.731,7604.792
ISR,2015,13.0,26.842,7844.2808
ISR,2016,13.0,26.707,8430.4502
ISR,2017,13.0,26.534,9155.4043
ITA,2013,10.3,19.299,8082.8633
ITA,2014,10.1,19.674,8143.9893
ITA,2015,10.2,19.187,8473.6563
ITA,2016,10.2,19.207,8142.0962
ITA,2017,10.2,19.101,9160.0322
JPN,2015,12.5,27.289,9051.2539
JPN,2016,12.7,27.257,8734.9268
JPN,2017,12.8,27.245,8824.0107
KOR,2016,12.1,23.159,11074.519
KOR,2017,12.1,23.061,11701.79
LVA,2013,12.7,15.665,6015.6431
LVA,2014,12.9,15.57,6576.7759
LVA,2015,12.8,15.833,6730.3579
LVA,2016,12.8,16.127,6584.2983
LVA,2017,12.8,16.347,6378.5186
LTU,2014,13.0,15.742,5288.8008
LTU,2015,13.0,15.976,5523.3896
LTU,2016,13.0,16.247,6170.3911
LTU,2017,13.0,16.945,6339.7036
LUX,2013,11.8,15.333,17942.307
LUX,2014,12.0,15.791,20607.545
LUX,2015,12.0,15.658,21158.158
LUX,2017,12.1,15.869,19690.26
MEX,2013,8.4,19.645,2762.335
MEX,2014,8.4,19.417,2879.9485
MEX,2015,8.6,22.138,2948.7681
MEX,2016,8.6,23.325,3044.948
MEX,2017,8.6,23.922,2781.9719
POL,2013,12.1,18.497,6932.5088
POL,2014,11.3,18.474,7038.7793
POL,2015,12.1,18.529,6820.6279
POL,2016,12.2,18.658,6942.5923
POL,2017,12.3,18.08,7806.4927
PRT,2013,8.6,20.969,7767.958
PRT,2014,8.9,21.219,7909.2559
PRT,2015,9.1,21.245,7418.1479
PRT,2016,9.2,21.15,7828.0317
PRT,2017,9.2,21.215,8766.3174
SVK,2013,12.2,17.558,6019.2988
SVK,2014,12.3,17.867,6203.1191
SVK,2015,12.5,17.893,6895.6606
SVK,2016,12.5,17.991,6658.853
SVK,2017,12.5,18.224,6836.2974
SVN,2013,11.7,19.016,9315.8438
SVN,2014,11.9,19.091,9265.5518
SVN,2015,12.0,19.451,8584.0059
SVN,2016,12.3,19.626,8797.1455
SVN,2017,12.2,18.352,9061.876
ESP,2013,9.5,21.606,6967.5908
ESP,2014,9.7,21.713,7052.4565
ESP,2015,9.7,21.878,7356.7319
ESP,2016,9.8,21.875,7805.0806
ESP,2017,9.8,21.916,8160.6777
SWE,2014,12.3,18.191,10832.12
SWE,2015,12.4,18.824,10972.563
SWE,2016,12.4,19.04,11569.423
SWE,2017,12.4,19.451,12188.987
TUR,2013,7.7,23.102,3262.8518
TUR,2014,7.6,22.935,3713.0491
TUR,2015,7.8,21.234,3884.894
TUR,2016,8.0,22.079,4196.7554
TUR,2017,8.0,21.444,4002.0342
GBR,2013,12.6,25.404,10615.377
GBR,2014,12.7,25.296,11276.631
GBR,2015,12.8,25.988,11715.106
GBR,2016,12.9,25.937,11350.02
GBR,2017,12.9,26.655,11603.506
