Country,Time,protection_of_workers,short_time_workers,involuntary_pt_workers,ft_and_pt_employ,marginally_attached_workers,employees_bargain,years_schooling,avg_class_size,educ_spendings
AUS,2016,1.7,0.892537988394359,27.9524528569284,19.3428747759162,5.64445756345152,60.0,12.9,22.158,8795.3633
AUS,2014,1.7,0.532556001126895,28.2773945017491,18.9174326882185,5.58487345361538,60.1,12.7,23.785,8107.4346
AUT,2013,1.8,0.479700352659457,11.3419423398238,18.9134900783933,3.34261546327125,98.0,11.9,21.022,10486.676
AUT,2014,1.8,0.392421491481552,10.9550427031198,19.5749618280209,3.61480534270901,98.0,12.1,20.977,10661.813
AUT,2015,1.8,0.454536965974255,11.8525900725279,19.7939412619717,3.6789769417645,98.0,12.1,20.921,11193.469
EST,2015,1.934,0.526972914343269,12.1389368353705,6.0221139217672,4.05933749609338,18.6,12.7,18.148,5838.8569
FIN,2014,2.518,0.466531544117901,23.8738736228853,7.41802541400073,5.13523526878965,89.3,12.4,19.656,8765.7246
FIN,2015,2.518,0.435119058513169,25.8490809976103,7.94538668093359,5.3025830011966,89.3,12.4,19.656,9286.6465
FRA,2014,2.812,0.0775428897619098,38.8336782551677,12.448917397098,1.40158485142792,98.5,11.4,25.262,6860.5566
DEU,2013,2.332,0.101406744800834,14.4377745630169,20.8241909422479,1.46970145444538,57.6,14.0,24.285,7958.0161
DEU,2014,2.332,0.0712562334870195,13.3088420767966,20.4661928076086,1.40461640816611,57.8,14.0,24.148,8355.6367
DEU,2015,2.332,0.0716307228754442,12.8239482996435,20.2943532746315,1.44623330727492,56.8,14.1,24.056,8419.0049
GRC,2013,2.591,0.445955366653569,64.5238170031554,9.96314586846451,2.2380709880003,63.1,10.4,21.967,5177.4805
GRC,2014,2.591,0.428216923867648,66.5242682871909,10.7834777227174,2.11878708053107,21.9,10.5,21.431,5493.7036
GRC,2015,2.591,0.407682887893844,68.8722519996615,10.8201953395015,2.24823424498423,23.7,10.6,20.671,5418.4844
HUN,2013,1.767,0.068581977910546,40.6947782851603,3.82751563363007,5.2050536055957,25.5,12.0,20.863,5169.8901
HUN,2014,1.767,0.0556905605805319,38.6016274082485,3.54678117107996,3.94136181188174,22.8,11.8,20.851,3480.1599
ITA,2016,2.831,10.0149556553721,62.5369742807427,18.2302082299272,4.30029648642906,80.0,10.2,21.078,7707.6216
ITA,2014,3.103,0.979818725887535,63.6326123520268,18.0483266401181,4.71384527800804,80.0,10.1,21.39,7572.0986
JPN,2016,2.08,88.7920298879203,19.4659170765987,16.7773237997957,0.887618474499774,16.7,12.7,32.28,8627.5176
JPN,2017,2.08,90.5664221678892,17.713479181369,16.2949822605169,0.833209343847642,16.5,12.8,32.212,8722.2119
JPN,2015,2.08,64.3279284740112,20.5714285714285,16.9613118114271,1.04561297166237,16.8,12.5,32.391,8945.2666
LVA,2013,2.708,0.226768545123897,37.8696044020484,6.0817494616013,5.81749156175633,15.3,12.7,14.42,5851.564
LVA,2014,2.708,0.191482270206458,34.8662665349068,5.04281591932368,4.75317611017885,15.3,12.9,14.779,6474.9941
LVA,2015,2.708,0.181044578988062,30.2709217273272,5.35341937126802,4.19357773420526,14.8,12.8,15.038,6594.3418
LTU,2015,2.633,0.0816939749407494,29.6260426080939,5.39349517699991,0.657792604851261,7.1,13.0,19.249,5285.2036
POL,2015,2.385,0.187496515299664,27.4872935838109,4.92180402767193,3.22981138107139,17.2,12.1,22.141,6245.9268
PRT,2013,3.062,0.539302232883725,36.4553770160802,7.03196607659779,5.43424845755158,76.5,8.6,22.5,6496.3438
PRT,2014,2.871,0.583668558324704,36.8903994818386,6.34590227517711,5.37424289722725,74.0,8.9,22.679,6704.7285
PRT,2015,2.871,0.500463934106503,38.5131552818644,6.3332235757374,5.13747143494965,73.6,9.1,22.618,6546.5264
SVK,2016,2.33,0.0019213075620127,63.7137163934911,4.86710686963588,1.62720066661653,25.0,12.5,19.121,6004.1733
SVK,2014,2.33,0.0036740852077417,63.3816715397031,4.04726259394445,1.71421791878466,30.0,12.3,19.321,5491.4224
SVN,2013,2.539,0.119083562883564,9.38401729398688,4.79320406610544,2.55735544761696,65.4,11.7,19.808,8483.6074
SVN,2014,2.34,0.167519178845871,8.48004543689573,5.77917512044176,3.42984030047882,69.2,11.9,19.877,8431.3096
SVN,2015,2.34,0.0992295991768207,11.4912354819342,5.78007346201262,2.56264528802357,67.5,12.0,20.118,7779.2432
ESP,2013,2.392,0.422162159702104,65.3093369678264,13.8878426721958,5.23799790235671,92.2,9.5,25.368,5877.5703
ESP,2014,2.392,0.365940240340008,64.5583873160674,13.8671240589751,5.005461887451,90.7,9.7,25.447,5944.7515
ESP,2015,2.392,0.351190457927061,63.3809253678148,13.6457276320597,4.43869173092204,86.7,9.7,25.564,6150.6528
SWE,2016,2.544,0.241990641135831,27.3438460854877,8.38593652665568,2.05818249469406,90.0,12.4,21.008,11569.423
SWE,2014,2.544,0.0115729936086915,28.6701688862528,8.72022411019791,2.53823595006446,90.0,12.3,20.431,10832.12
SWE,2015,2.544,0.0038276419258378,28.3183429730092,8.54183483335719,2.32998930357986,90.0,12.4,20.892,10972.563
TUR,2013,2.949,0.128391601755244,6.70607036152205,10.0890671389134,3.52059405361303,6.5,7.7,28.084,2525.1763
TUR,2014,2.949,0.226597454417978,8.72773533624027,8.50711513583441,3.72801030541304,6.6,7.6,27.682,2868.0422
TUR,2015,2.949,0.256964456411966,9.47168375298533,7.7281474729059,3.63214578091623,6.7,7.8,24.609,3079.3757
GBR,2013,1.932,0.14972363273427,18.1639630120964,20.1157651413599,2.423694539156,29.5,12.6,19.466,9302.5068
GBR,2014,1.901,0.117350592408936,16.8968565114147,19.5090998205921,2.15148982922778,27.5,12.7,19.068,10178.985
GBR,2015,1.901,0.105035324652292,15.9231585352663,19.4054856876292,2.09766733918873,27.9,12.8,19.008,10628.859
