Country,Time,NEET,Exp_LMP,STR,Min_Wage
AUS,2013,13.015899,0.87,15.615,23283.7668809546
AUS,2014,12.647472,0.93,15.612,23356.4926673246
AUS,2015,11.83161,0.91,15.433,23641.3953978696
AUS,2016,11.35215,0.86,15.168,23915.4195797544
AUS,2017,10.946128,0.85,15.124,24128.7310458395
AUS,2018,10.842403,0.78,14.926,24481.1931444895
BEL,2013,14.977997,2.8,12.672,23445.0125407251
BEL,2014,15.014685,2.66,12.723,23365.5689442845
BEL,2015,13.80891,2.39,12.784,23235.1202057635
BEL,2016,12.989787,2.27,12.832,23013.7825951446
BEL,2017,13.241013,2.24,12.895,22986.1010981751
BEL,2018,12.750292,2.1,12.815,22746.8140192036
CAN,2013,12.478057,0.8,16.477,17936.7339502995
CAN,2014,13.403195,0.78,16.57,18052.4556047478
CAN,2015,13.261124,0.86,16.978,18332.2017393027
CAN,2016,13.088084,0.9,16.855,18615.5103113673
CAN,2017,12.175824,0.78,16.225,18939.2308145339
CAN,2018,11.947031,0.7,16.691,20946.04921687
CHL,2013,18.750889,0.36,22.525,5975.48989905928
CHL,2015,17.971138,0.52,20.891,6333.89496010237
CHL,2017,18.409889,0.51,19.77,6880.90146532944
CZE,2013,13.244039,0.53,18.788,7699.32908153038
CZE,2014,12.489656,0.58,18.677,7945.57742298489
CZE,2015,12.232547,0.61,18.974,8573.3960451473
CZE,2016,11.624346,0.53,19.149,9163.08955446357
CZE,2017,10.906657,0.46,19.138,9937.68428537509
CZE,2018,9.991457,0.46,19.198,10789.8676383809
EST,2013,14.799244,0.66,13.04,6740.46255811295
EST,2014,14.499515,0.57,12.892,7485.64854872126
EST,2015,12.8484,0.63,13.347,8264.35781944256
EST,2016,14.530252,0.74,13.192,9098.45623121944
EST,2017,11.751085,0.79,13.192,9616.21552262483
EST,2018,12.717612,0.87,13.146,9890.15834338654
FRA,2013,16.340042,2.93,19.684,21626.8842958147
FRA,2014,16.251743,3.02,19.641,21745.7084955593
FRA,2015,17.200922,2.97,19.693,21920.1313118405
FRA,2016,17.187014,3.0,19.66,22016.6251097894
FRA,2017,16.5467,2.85,19.457,21994.491019678
FRA,2018,16.096914,2.66,19.154,21860.3203739333
DEU,2015,8.5675774,1.52,15.447,23382.7620297357
DEU,2016,9.6113749,1.45,15.322,23268.3402863705
DEU,2017,9.3432322,1.42,15.396,23845.5889807791
DEU,2018,9.1876764,1.39,15.265,23439.5762216494
HUN,2013,20.482632,1.21,10.631,8268.34374417102
HUN,2014,17.478123,1.21,11.46,8583.17414436703
HUN,2015,15.890547,1.11,11.235,8884.62256374093
HUN,2016,15.176572,1.14,11.015,9355.38310066467
HUN,2017,14.015918,1.05,10.8,10511.8468771164
HUN,2018,13.499011,0.84,10.176,11049.2283832452
IRL,2017,13.105398,1.25,15.653,20036.6090181415
IRL,2018,11.733475,1.04,15.254,20585.9095452602
ISR,2013,14.968257,0.74,15.268,12552.693075947
ISR,2014,13.846004,0.72,15.468,12492.1025134965
ISR,2015,14.077371,0.68,15.434,13339.070080975
ISR,2016,13.757322,0.63,15.418,13926.5200345223
ISR,2017,13.562289,0.61,15.172,14662.3671349648
ISR,2018,13.345846,0.58,15.434,15416.4875824597
JPN,2013,10.834349,0.39,17.402,14861.1003991579
JPN,2014,9.8242168,0.34,17.143,15061.4688618639
LVA,2013,15.771196,0.55,11.162,6342.21487087642
LVA,2014,14.520842,0.55,11.091,7101.52141525713
LVA,2015,12.961889,0.55,11.133,7951.4625673913
