Country,Time,Exp_LMP
AUS,2004,1.0
AUS,2005,0.91
AUS,2006,0.81
AUS,2007,0.71
AUS,2008,0.76
AUS,2009,0.89
AUS,2010,0.82
AUS,2011,0.81
AUS,2012,0.83
AUS,2013,0.87
AUS,2014,0.93
AUS,2015,0.91
AUS,2016,0.86
AUS,2017,0.85
AUS,2018,0.78
AUT,2004,1.96
AUT,2005,2.06
AUT,2006,2.03
AUT,2007,1.84
AUT,2008,1.76
AUT,2009,2.23
AUT,2010,2.17
AUT,2011,1.97
AUT,2012,1.96
AUT,2013,2.15
AUT,2014,2.18
AUT,2015,2.21
AUT,2016,2.25
AUT,2017,2.19
AUT,2018,2.07
BEL,2004,2.98
BEL,2005,2.94
BEL,2006,2.78
BEL,2007,2.61
BEL,2008,2.66
BEL,2009,3.07
BEL,2010,2.94
BEL,2011,2.78
BEL,2012,2.77
BEL,2013,2.8
BEL,2014,2.66
BEL,2015,2.39
BEL,2016,2.27
BEL,2017,2.24
BEL,2018,2.1
CAN,2004,1.01
CAN,2005,0.91
CAN,2006,0.87
CAN,2007,0.82
CAN,2008,0.92
CAN,2009,1.29
CAN,2010,1.12
CAN,2011,0.91
CAN,2012,0.83
CAN,2013,0.8
CAN,2014,0.78
CAN,2015,0.86
CAN,2016,0.9
CAN,2017,0.78
CAN,2018,0.7
CZE,2004,0.46
CZE,2005,0.45
CZE,2006,0.45
CZE,2007,0.42
CZE,2008,0.4
CZE,2009,0.67
CZE,2010,0.66
CZE,2011,0.52
CZE,2012,0.47
CZE,2013,0.53
CZE,2014,0.58
CZE,2015,0.61
CZE,2016,0.53
CZE,2017,0.46
CZE,2018,0.46
DNK,2004,4.23
DNK,2005,3.81
DNK,2006,3.26
DNK,2007,2.73
DNK,2008,2.38
DNK,2009,3.27
DNK,2010,3.75
DNK,2011,3.61
DNK,2012,3.58
DNK,2013,3.56
DNK,2014,3.43
DNK,2015,3.31
DNK,2016,3.14
DNK,2017,3.03
DNK,2018,2.87
FIN,2004,2.88
FIN,2005,2.68
FIN,2006,2.5
FIN,2007,2.2
FIN,2008,2.06
FIN,2009,2.65
FIN,2010,2.7
FIN,2011,2.38
FIN,2012,2.38
FIN,2013,2.6
FIN,2014,2.86
FIN,2015,2.91
FIN,2016,2.8
FIN,2017,2.55
FIN,2018,2.21
FRA,2004,3.08
FRA,2005,2.91
FRA,2006,2.71
FRA,2007,2.52
FRA,2008,2.35
FRA,2009,2.85
FRA,2010,3.01
FRA,2011,2.76
FRA,2012,2.82
FRA,2013,2.93
FRA,2014,3.02
FRA,2015,2.97
FRA,2016,3.0
FRA,2017,2.85
FRA,2018,2.66
DEU,2004,3.32
DEU,2005,3.05
DEU,2006,2.57
DEU,2007,2.05
DEU,2008,1.9
DEU,2009,2.46
DEU,2010,2.19
DEU,2011,1.76
DEU,2012,1.62
DEU,2013,1.65
DEU,2014,1.59
DEU,2015,1.52
DEU,2016,1.45
DEU,2017,1.42
DEU,2018,1.39
HUN,2004,0.68
HUN,2005,0.7
HUN,2006,0.68
HUN,2007,0.69
HUN,2008,0.7
HUN,2009,1.13
HUN,2010,1.32
HUN,2011,1.13
HUN,2012,1.16
HUN,2013,1.21
HUN,2014,1.21
HUN,2015,1.11
HUN,2016,1.14
HUN,2017,1.05
HUN,2018,0.84
IRL,2004,1.49
IRL,2005,1.4
IRL,2006,1.41
IRL,2007,1.49
IRL,2008,1.97
IRL,2009,3.28
IRL,2010,3.68
IRL,2011,3.41
IRL,2012,3.26
IRL,2013,3.0
IRL,2014,2.56
IRL,2015,1.78
IRL,2016,1.56
IRL,2017,1.25
IRL,2018,1.04
ITA,2004,1.21
ITA,2005,1.21
ITA,2006,1.12
ITA,2007,1.02
ITA,2008,1.14
ITA,2009,1.69
ITA,2010,1.73
ITA,2011,1.64
ITA,2012,1.94
ITA,2013,1.94
ITA,2014,1.9
ITA,2015,1.78
ITA,2018,1.56
JPN,2004,0.59
JPN,2005,0.35
JPN,2006,0.33
JPN,2007,0.31
JPN,2008,0.32
JPN,2009,0.64
JPN,2010,0.54
JPN,2011,0.56
JPN,2012,0.43
JPN,2013,0.39
JPN,2014,0.34
JPN,2015,0.33
JPN,2016,0.31
JPN,2017,0.3
JPN,2018,0.31
KOR,2004,0.26
KOR,2005,0.29
KOR,2006,0.31
KOR,2007,0.34
KOR,2008,0.52
KOR,2009,0.78
KOR,2010,0.59
KOR,2011,0.51
KOR,2012,0.58
KOR,2013,0.62
KOR,2014,0.63
KOR,2015,0.63
KOR,2016,0.66
KOR,2017,0.6
LUX,2004,1.08
LUX,2005,1.16
LUX,2006,1.07
LUX,2007,0.99
LUX,2008,0.99
LUX,2009,1.4
LUX,2010,1.33
LUX,2011,1.27
LUX,2012,1.41
LUX,2013,1.47
LUX,2014,1.38
LUX,2015,1.34
LUX,2016,1.4
LUX,2017,1.38
LUX,2018,1.26
