Country,Time,Min_Wage
AUS,2001,21503.435891837198
AUS,2002,21715.2672684955
AUS,2003,21998.608472561402
AUS,2004,22384.7140081338
AUS,2005,22566.219653404398
AUS,2006,22220.8025358654
AUS,2007,22957.7507616892
AUS,2008,22555.6680367786
AUS,2009,22845.8337484172
AUS,2010,22731.048852534503
AUS,2011,22903.0456022785
AUS,2012,23214.974939841402
AUS,2013,23283.7668809546
AUS,2014,23356.4926673246
AUS,2015,23641.3953978696
AUS,2016,23915.419579754398
AUS,2017,24128.7310458395
AUS,2018,24481.1931444895
AUS,2019,24874.872054300096
BEL,2001,22743.5521778125
BEL,2002,23048.4391940075
BEL,2003,22915.1041334669
BEL,2004,22666.8834896264
BEL,2005,22493.8774359758
BEL,2006,22536.363902740097
BEL,2007,22796.4965952881
BEL,2008,22704.476506428702
BEL,2009,23829.4490440004
BEL,2010,23318.9279401725
BEL,2011,23203.3868097557
BEL,2012,23013.970941072403
BEL,2013,23445.012540725096
BEL,2014,23365.568944284503
BEL,2015,23235.120205763502
BEL,2016,23013.7825951446
BEL,2017,22986.1010981751
BEL,2018,22746.814019203597
BEL,2019,22872.648690537797
CAN,2001,15019.1230588895
CAN,2002,14861.2387745254
CAN,2003,14652.580689243001
CAN,2004,14676.020745503401
CAN,2005,14804.984285246499
CAN,2006,15131.612787496399
CAN,2007,15282.651419698
CAN,2008,15899.9320621657
CAN,2009,16839.6782260047
CAN,2010,17441.052224858402
CAN,2011,17491.2882363953
CAN,2012,17819.3518796297
CAN,2013,17936.7339502995
CAN,2014,18052.4556047478
CAN,2015,18332.2017393027
CAN,2016,18615.5103113673
CAN,2017,18939.230814533898
CAN,2018,20946.04921687
CAN,2019,21280.4721620123
CHL,2001,4377.057440279629
CHL,2002,4503.1582921549
CHL,2003,4565.17456079789
CHL,2004,4692.77255609438
CHL,2005,4782.79875292341
CHL,2006,4906.24459557615
CHL,2007,4994.49008375983
CHL,2008,4989.24743445241
CHL,2009,5316.26795034849
CHL,2010,5452.65382993827
CHL,2011,5542.525710598771
CHL,2012,5699.89811393455
CHL,2013,5975.48989905928
CHL,2014,6167.29296347962
CHL,2015,6333.8949601023705
CHL,2016,6682.17093165879
CHL,2017,6880.90146532944
CHL,2018,7044.40317497645
CHL,2019,7330.736288829309
COL,2001,6087.94759982913
COL,2002,6184.69086180767
COL,2003,6202.73874259998
COL,2004,6315.784417027509
COL,2005,6406.736827158001
COL,2006,6569.761973093
COL,2007,6616.68787700609
COL,2008,6580.290059845021
COL,2009,6799.39475240287
COL,2010,6890.570925504179
COL,2011,6929.37612531189
COL,2012,7106.644764770741
COL,2013,7246.327855943549
COL,2014,7358.82904304881
COL,2015,7331.63658342886
COL,2016,7296.56050332654
COL,2017,7484.58671509567
COL,2018,7677.4082540424
COL,2019,7860.91176584652
CZE,2001,6148.88066276921
CZE,2002,6878.82129533331
CZE,2003,7473.35287229016
CZE,2004,7859.122369217791
CZE,2005,8274.365913599351
CZE,2006,8718.49844769712
CZE,2007,8735.99907876302
CZE,2008,8213.71646325427
CZE,2009,8130.832597125071
