Country,ISC11_LEVEL_CAT,Time,STR
AUS,L0,2013,
AUS,L0,2014,
AUS,L0,2015,
AUS,L0,2016,
AUS,L0,2017,
AUS,L0,2018,
AUS,L1,2013,15.615
AUS,L1,2014,15.612
AUS,L1,2015,15.433
AUS,L1,2016,15.168
AUS,L1,2017,15.124
AUS,L1,2018,14.925999999999998
AUS,L2,2013,
AUS,L2,2014,
AUS,L2,2015,
AUS,L2,2016,
AUS,L2,2017,
AUS,L2,2018,
AUS,L3,2013,12.022
AUS,L3,2014,12.100999999999999
AUS,L3,2015,12.254000000000001
AUS,L3,2016,12.120999999999999
AUS,L3,2017,11.994000000000002
AUS,L3,2018,11.890999999999998
AUS,L5T8,2013,
AUS,L5T8,2014,
AUS,L5T8,2015,
AUS,L5T8,2016,
AUS,L5T8,2017,
AUS,L5T8,2018,
AUT,L0,2005,
AUT,L0,2010,
AUT,L0,2011,
AUT,L0,2012,
AUT,L0,2013,12.798
AUT,L0,2014,12.925999999999998
AUT,L0,2015,12.537
AUT,L0,2016,12.345999999999998
AUT,L0,2017,12.709000000000001
AUT,L0,2018,12.540999999999999
AUT,L1,2013,11.919
AUT,L1,2014,11.95
AUT,L1,2015,11.843
AUT,L1,2016,11.628
AUT,L1,2017,11.267000000000001
AUT,L1,2018,11.55
AUT,L2,2013,8.984
AUT,L2,2014,8.817
AUT,L2,2015,8.73
AUT,L2,2016,8.639
AUT,L2,2017,8.565
AUT,L2,2018,8.499
AUT,L3,2013,9.854
AUT,L3,2014,9.992
AUT,L3,2015,10.149
AUT,L3,2016,10.095
AUT,L3,2017,10.1
AUT,L3,2018,10.094
AUT,L5T8,2013,14.999
AUT,L5T8,2014,14.69
AUT,L5T8,2015,14.35
AUT,L5T8,2016,14.350999999999999
AUT,L5T8,2017,14.04
AUT,L5T8,2018,13.767000000000001
BEL,L0,2005,
BEL,L0,2010,
BEL,L0,2011,
BEL,L0,2012,
BEL,L0,2013,
BEL,L0,2014,
BEL,L0,2015,
BEL,L0,2016,
BEL,L0,2017,
BEL,L0,2018,
BEL,L1,2013,12.672
BEL,L1,2014,12.722999999999999
BEL,L1,2015,12.784
BEL,L1,2016,12.832
BEL,L1,2017,12.895
BEL,L1,2018,12.815
BEL,L2,2013,9.331
BEL,L2,2014,9.204
BEL,L2,2015,9.073
BEL,L2,2016,9.027999999999999
BEL,L2,2017,8.939
BEL,L2,2018,8.895
BEL,L3,2013,9.869
BEL,L3,2014,9.94
BEL,L3,2015,9.924
BEL,L3,2016,9.802999999999999
BEL,L3,2017,9.706
BEL,L3,2018,9.63
BEL,L5T8,2013,21.01
BEL,L5T8,2014,22.456
BEL,L5T8,2015,22.078000000000003
BEL,L5T8,2016,21.219
BEL,L5T8,2017,21.168000000000003
BEL,L5T8,2018,20.973000000000003
CAN,L0,2005,
CAN,L0,2010,
CAN,L0,2011,
CAN,L0,2012,
CAN,L0,2013,
CAN,L0,2014,
CAN,L0,2015,
CAN,L0,2016,
CAN,L0,2017,
CAN,L0,2018,
CAN,L1,2012,14.027000000000001
CAN,L1,2013,16.477
CAN,L1,2014,16.57
CAN,L1,2015,16.977999999999998
CAN,L1,2016,16.855
CAN,L1,2017,16.225
CAN,L1,2018,16.691
CAN,L2,2012,
CAN,L2,2013,
CAN,L2,2014,
CAN,L2,2015,
CAN,L2,2016,
CAN,L2,2017,
CAN,L2,2018,
CAN,L3,2012,13.85
CAN,L3,2013,13.773
CAN,L3,2014,12.794
CAN,L3,2015,12.966
CAN,L3,2016,12.244000000000002
CAN,L3,2017,13.085999999999999
CAN,L3,2018,13.253
CAN,L5T8,2012,
CAN,L5T8,2013,
CAN,L5T8,2014,
CAN,L5T8,2015,
CAN,L5T8,2016,
CAN,L5T8,2017,
CAN,L5T8,2018,
CHL,L0,2013,26.302
CHL,L0,2014,25.678
CHL,L0,2015,25.017
CHL,L0,2016,24.311999999999998
CHL,L0,2017,23.269000000000002
CHL,L0,2018,22.397
CHL,L1,2013,22.525
CHL,L1,2014,21.318
CHL,L1,2015,20.891
CHL,L1,2016,20.293
CHL,L1,2017,19.77
CHL,L1,2018,19.410999999999998
CHL,L2,2013,24.291999999999998
CHL,L2,2014,22.828000000000003
CHL,L2,2015,21.878
CHL,L2,2016,21.081
CHL,L2,2017,20.389
CHL,L2,2018,20.154
CHL,L3,2013,25.061999999999998
CHL,L3,2014,23.879
CHL,L3,2015,22.975
CHL,L3,2016,22.086
CHL,L3,2017,21.173000000000002
CHL,L3,2018,20.588
CHL,L5T8,2013,
CHL,L5T8,2014,
CHL,L5T8,2015,
CHL,L5T8,2016,
CHL,L5T8,2017,
CHL,L5T8,2018,
COL,L0,2005,
COL,L0,2010,
COL,L0,2011,
COL,L0,2012,
COL,L0,2013,
COL,L0,2014,
COL,L0,2015,
COL,L0,2016,
COL,L0,2017,
COL,L0,2018,
COL,L1,2013,24.984
COL,L1,2014,24.287
COL,L1,2015,24.239
COL,L1,2016,24.230999999999998
COL,L1,2017,23.601
COL,L1,2018,23.302
COL,L2,2013,26.636
COL,L2,2014,26.276
COL,L2,2015,26.695
COL,L2,2016,26.199
COL,L2,2017,26.410999999999998
COL,L2,2018,26.307
COL,L3,2013,22.941999999999997
COL,L3,2014,21.903000000000002
COL,L3,2015,25.938000000000002
COL,L3,2016,25.596999999999998
COL,L3,2017,25.057
COL,L3,2018,24.953000000000003
COL,L5T8,2013,19.011
COL,L5T8,2014,15.523
COL,L5T8,2015,15.364
COL,L5T8,2016,30.715999999999998
COL,L5T8,2017,31.256
COL,L5T8,2018,27.72
CZE,L0,2005,
CZE,L0,2010,
CZE,L0,2011,
CZE,L0,2012,
CZE,L0,2013,13.890999999999998
CZE,L0,2014,13.665999999999999
CZE,L0,2015,13.455
CZE,L0,2016,13.402999999999999
